,,,,,,,,,,,,,,,,,,,,,,,
Template ID,Meta Template Name,Library,Message Name,Category,Treatment,Objection,Trigger,Day,Header Type,Header Text,Meta Approved Body,CTA Type,CTA Value,Media Type,Media Asset ID,Variable Mapping,Objective,AI Personalization Inputs,AI Writing Rules,Workflow Exit Condition,Internal Notes,Meta Templates,Meta Mapping
MKT-L5-RCT-COST-03,mkt_l5_rct_cost_delay_v1,Library 5,Cost of Delay,Marketing,Root Canal Treatment,Cost,No Response After Message 2,Day 8,Image,Blank,"Many patients wish they had started their Root Canal Treatment a little earlier.

Hi {{4}},

Taking time before making a treatment decision is completely understandable.

However, delaying a Root Canal Treatment for too long may sometimes reduce the treatment options available later and lead to more extensive care than originally recommended.

If you'd like to understand your options before deciding, we're always happy to answer your questions.

Looking after your oral health today often makes tomorrow much simpler.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Image,IMG-RCT-COST-02,"{{1}}, {{2}}, {{3}}, {{4}}",Create gentle urgency through anticipated regret rather than fear.,"• Always mention patient name.• Mention ""Root Canal Treatment"".• Never exaggerate consequences.• Never create fear.• Keep urgency educational and balanced.• Invite further discussion rather than pressure the patient.",Image should visually reinforce timely treatment and saving the natural tooth. Avoid alarming visuals.,,,"Many patients wish they had started their Root Canal Treatment a little earlier.

Hi {{1}},

Taking time before making a treatment decision is completely understandable.

However, delaying a Root Canal Treatment for too long may sometimes reduce the treatment options available later and lead to more extensive care than originally recommended.

If you'd like to understand your options before deciding, we're always happy to answer your questions.

Looking after your oral health today often makes tomorrow much simpler.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-RCT-TRUST-01,mkt_l5_rct_trust_necessity_v1,Library 5,Why Root Canal?,Marketing,Root Canal Treatment,Trust,Primary Objection = Trust,Day 2,Image,Blank,"""Do I really need a Root Canal?"" It's one of the most common questions we hear.

Hi {{4}},

It's completely natural to want confidence before making an important healthcare decision.

At {{1}}, a Root Canal Treatment is recommended only after carefully assessing your tooth and discussing the findings with you.

If your tooth can be managed without a Root Canal Treatment, we won't recommend one.

The right treatment begins with the right diagnosis.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-RCT-TRUST-01,"{{1}}, {{2}}, {{4}}",Build confidence that the recommendation is based on clinical findings rather than routine treatment.,"• Always mention patient name.• Mention ""Root Canal Treatment"" naturally.• Never compare with another clinic or dentist.• Never make superiority claims.• Keep the tone transparent, educational and reassuring.","Creative should show the doctor explaining the X-ray/clinical findings to a patient, reinforcing transparency and trust.",,,"""Do I really need a Root Canal?"" It's one of the most common questions we hear.

Hi {{1}},

It's completely natural to want confidence before making an important healthcare decision.

At {{2}}, a Root Canal Treatment is recommended only after carefully assessing your tooth and discussing the findings with you.

If your tooth can be managed without a Root Canal Treatment, we won't recommend one.

The right treatment begins with the right diagnosis.

Team {{3}}
Dr. {{4}}","[4,1,1,2]"
MKT-L5-RCT-TRUST-02,mkt_l5_rct_trust_explanation_v1,Library 5,Understanding the Recommendation,Marketing,Root Canal Treatment,Trust,No Response After Message 1,Day 5,Video,Blank,"""Why has a Root Canal Treatment been recommended for my tooth?""

Hi {{4}},

Every patient deserves to understand why a treatment has been recommended, and not just what treatment is needed.

That's why Dr. {{2}} takes time to explain the condition of your tooth, answer your questions and discuss the available treatment options before you decide.

When you understand the reason behind a recommendation, making the decision becomes much easier.

Team {{1}}
Dr. {{2}}",None,Blank,Video,VID-RCT-MASTER-TRUST,"{{1}}, {{2}}, {{4}}",Build trust by educating the patient on the reasoning behind the recommendation.,• Always mention patient name.• Keep the message educational.• Never oversell the treatment.• Never imply that other opinions are incorrect.• Reinforce informed decision-making.,Use the Trust section from the Root Canal master video. The doctor should explain how treatment decisions are made based on clinical findings.,,,"""Why has a Root Canal Treatment been recommended for my tooth?""

Hi {{1}},

Every patient deserves to understand why a treatment has been recommended, and not just what treatment is needed.

That's why Dr. {{2}} takes time to explain the condition of your tooth, answer your questions and discuss the available treatment options before you decide.

When you understand the reason behind a recommendation, making the decision becomes much easier.

Team {{3}}
Dr. {{4}}","[4,2,1,2]"
MKT-L5-RCT-TRUST-03,mkt_l5_rct_trust_second_opinion_v1,Library 5,Confidence Before Decision,Marketing,Root Canal Treatment,Trust,No Response After Message 2,Day 8,Image,Blank,"Thinking about taking another opinion before your Root Canal Treatment? That's completely okay.

Hi {{4}},

If another opinion helps you feel more confident, we completely respect that.

When comparing opinions, try to understand why a Root Canal Treatment has been recommended, and not just whether it has been recommended.

Our priority is helping you make the decision that's best for your oral health.

Confidence comes from understanding, not pressure.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-RCT-TRUST-02,"{{1}}, {{2}}, {{4}}",Reinforce confidence while respecting the patient's autonomy and decision-making process.,• Always mention patient name.• Respect second opinions.• Never discourage comparison.• Never pressure the patient to choose {{1}}.• Keep the tone patient-first and ethical.,"Creative should reinforce patient choice and transparent healthcare, avoiding any competitive or promotional visuals.",,,"Thinking about taking another opinion before your Root Canal Treatment? That's completely okay.

Hi {{1}},

If another opinion helps you feel more confident, we completely respect that.

When comparing opinions, try to understand why a Root Canal Treatment has been recommended, and not just whether it has been recommended.

Our priority is helping you make the decision that's best for your oral health.

Confidence comes from understanding, not pressure.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-RCT-FEAR-01,mkt_l5_rct_fear_pain_v1,Library 5,Pain Concern,Marketing,Root Canal Treatment,Fear,Primary Objection = Fear,Day 2,Image,Blank,"""I've heard Root Canal Treatment is painful."" Is that true?

Hi {{4}},

You're not alone. This is one of the most common concerns patients have before a Root Canal Treatment.

Modern Root Canal Treatment is performed using local anaesthesia, with the aim of making the procedure as comfortable as possible while treating the source of the problem.

Before starting, Dr. {{2}} will ensure you're comfortable and answer any questions you may have.

Understanding the treatment is often the first step towards feeling more confident.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-RCT-FEAR-01,"{{1}}, {{2}}, {{4}}",Reduce anxiety by correcting common misconceptions.,"• Always mention patient name.• Mention ""Root Canal Treatment"" naturally.• Never use ""pain-free"" or ""painless"".• Never guarantee comfort.• Keep the tone reassuring and educational.",Creative should show a calm patient interacting comfortably with the dentist before treatment.,,,"""I've heard Root Canal Treatment is painful."" Is that true?

Hi {{1}},

You're not alone. This is one of the most common concerns patients have before a Root Canal Treatment.

Modern Root Canal Treatment is performed using local anaesthesia, with the aim of making the procedure as comfortable as possible while treating the source of the problem.

Before starting, Dr. {{2}} will ensure you're comfortable and answer any questions you may have.

Understanding the treatment is often the first step towards feeling more confident.

Team {{3}}
Dr. {{4}}","[4,2,1,2]"
MKT-L5-RCT-FEAR-02,mkt_l5_rct_fear_process_v1,Library 5,Knowing What to Expect,Marketing,Root Canal Treatment,Fear,No Response After Message 1,Day 5,Video,Blank,"""What actually happens during a Root Canal Treatment?""

Hi {{4}},

For many patients, it's not the treatment itself that feels stressful, but it's not knowing what to expect.

Before beginning your Root Canal Treatment, Dr. {{2}} will explain every step, make sure you're comfortable and answer every question before proceeding.

Knowing what will happen often helps patients feel much more relaxed and confident.

We are here to make every step as comfortable and predictable as possible.

Team {{1}}
Dr. {{2}}",None,Blank,Video,VID-RCT-MASTER-FEAR,"{{1}}, {{2}}, {{4}}",Replace fear of the unknown with clarity and confidence.,• Always mention patient name.• Explain the process in simple language.• Never use technical jargon.• Never overpromise treatment comfort.• Reinforce patient communication.,"Use the ""Fear"" segment from the Master Root Canal video. The doctor should explain the procedure in simple language while reassuring the patient.",,,"""What actually happens during a Root Canal Treatment?""

Hi {{1}},

For many patients, it's not the treatment itself that feels stressful, but it's not knowing what to expect.

Before beginning your Root Canal Treatment, Dr. {{2}} will explain every step, make sure you're comfortable and answer every question before proceeding.

Knowing what will happen often helps patients feel much more relaxed and confident.

We are here to make every step as comfortable and predictable as possible.

Team {{3}}
Dr. {{4}}","[4,2,1,2]"
MKT-L5-RCT-FEAR-03,mkt_l5_rct_fear_reassurance_v1,Library 5,Reassurance Before Decision,Marketing,Root Canal Treatment,Fear,No Response After Message 2,Day 8,Image,Blank,"Most patients tell us their Root Canal Treatment was much easier than they expected.

Hi {{4}},

Feeling nervous before a dental procedure is completely normal.

Many patients later share that the experience was far more comfortable than they had imagined because they knew what to expect and felt supported throughout the treatment.

If fear is the only thing stopping you, we'd be happy to answer your questions before you decide.

Sometimes a simple conversation is all it takes to feel more confident.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Image,IMG-RCT-FEAR-02,"{{1}}, {{2}}, {{3}}, {{4}}",Give final reassurance and encourage conversation before treatment.,"• Never promise outcomes.• Avoid exaggerated claims.• Invite discussion rather than persuasion.• Maintain a warm, supportive tone.","Creative should show a smiling patient after treatment, reinforcing relief and confidence rather than pain.",,,"Most patients tell us their Root Canal Treatment was much easier than they expected.

Hi {{1}},

Feeling nervous before a dental procedure is completely normal.

Many patients later share that the experience was far more comfortable than they had imagined because they knew what to expect and felt supported throughout the treatment.

If fear is the only thing stopping you, we'd be happy to answer your questions before you decide.

Sometimes a simple conversation is all it takes to feel more confident.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-RCT-URGENCY-01,mkt_l5_rct_urgency_symptoms_v1,Library 5,Symptoms vs Problem,Marketing,Root Canal Treatment,No Urgency,Primary Objection = No Urgency,Day 2,Image,Blank,"""The pain has reduced... do I still need a Root Canal Treatment?""

Hi {{4}},

It's quite common for tooth pain to reduce or even stop for some time. However, that doesn't always mean the underlying problem has healed.

That's why the Root Canal Treatment discussed during your visit is still important to consider.

Pain can change over time. The condition inside the tooth may not.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-RCT-URG-01,"{{1}}, {{2}}, {{4}}",Help patients understand that symptom relief doesn't always mean recovery.,• Never create fear.• Focus on education.• Mention treatment naturally.• Keep tone calm and informative.,Creative should explain pain vs underlying infection using a simple illustration.,,,"""The pain has reduced... do I still need a Root Canal Treatment?""

Hi {{1}},

It's quite common for tooth pain to reduce or even stop for some time. However, that doesn't always mean the underlying problem has healed.

That's why the Root Canal Treatment discussed during your visit is still important to consider.

Pain can change over time. The condition inside the tooth may not.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-RCT-URGENCY-02,mkt_l5_rct_urgency_timing_v1,Library 5,Why Timing Matters,Marketing,Root Canal Treatment,No Urgency,No Response After Message 1,Day 5,Video,Blank,"""Can I wait a little longer before getting my Root Canal Treatment?""

Hi {{4}},

Many patients ask this question, and the answer depends on the condition of the tooth.

Starting the recommended Root Canal Treatment at the right time often helps preserve more treatment options and may reduce the chances of needing more extensive procedures later.

If you're unsure about the timing, we'd be happy to discuss it with you.

Choosing the right time can make a meaningful difference.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Video,VID-RCT-MASTER-URGENCY,"{{1}}, {{2}}, {{3}}, {{4}}",Encourage timely decision-making without creating panic.,• Educational tone only.• Never exaggerate future consequences.• Invite discussion if unsure.,Video explains why dentists recommend timely treatment.,,,"""Can I wait a little longer before getting my Root Canal Treatment?""

Hi {{1}},

Many patients ask this question, and the answer depends on the condition of the tooth.

Starting the recommended Root Canal Treatment at the right time often helps preserve more treatment options and may reduce the chances of needing more extensive procedures later.

If you're unsure about the timing, we'd be happy to discuss it with you.

Choosing the right time can make a meaningful difference.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-RCT-URGENCY-03,mkt_l5_rct_urgency_delay_v1,Library 5,Timely Care Reminder,Marketing,Root Canal Treatment,No Urgency,No Response After Message 2,Day 8,Image,Blank,"Many patients wish they hadn't waited so long before starting their Root Canal Treatment.

Hi {{4}},

Delaying treatment can sometimes mean that the options discussed during your consultation may no longer remain the most suitable ones.

If you'd like to review your treatment plan before making a decision, we're always happy to help.

Timely care often keeps treatment simpler and more predictable.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Image,IMG-RCT-URG-02,"{{1}}, {{2}}, {{3}}, {{4}}",Create urgency through future thinking rather than fear.,• Avoid scare tactics.• Encourage informed action.• Keep tone supportive.,Creative reinforces the benefits of timely treatment without using fear-based imagery.,,,"Many patients wish they hadn't waited so long before starting their Root Canal Treatment.

Hi {{1}},

Delaying treatment can sometimes mean that the options discussed during your consultation may no longer remain the most suitable ones.

If you'd like to review your treatment plan before making a decision, we're always happy to help.

Timely care often keeps treatment simpler and more predictable.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-RCT-SO-01,mkt_l5_rct_so_second_opinion_v1,Library 5,Considering Another Opinion,Marketing,Root Canal Treatment,Second Opinion,Primary Objection = Second Opinion,Day 2,Image,Blank,"""Should I take another opinion before getting a Root Canal Treatment?""

Hi {{4}},

That's a completely reasonable question, and we respect patients who take time to make informed healthcare decisions.

If another opinion helps you feel more confident, we fully support that decision.

Our only suggestion is to compare the reasons behind the recommendation, and not just the treatment name itself.

A confident decision is always a better decision.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-RCT-SO-01,"{{1}}, {{2}}, {{4}}",Build confidence while respecting the patient's autonomy.,• Never discourage second opinions.• Never criticize another dentist.• Maintain complete neutrality.,Creative should reinforce informed decision-making and patient empowerment.,,,"""Should I take another opinion before getting a Root Canal Treatment?""

Hi {{1}},

That's a completely reasonable question, and we respect patients who take time to make informed healthcare decisions.

If another opinion helps you feel more confident, we fully support that decision.

Our only suggestion is to compare the reasons behind the recommendation, and not just the treatment name itself.

A confident decision is always a better decision.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-RCT-SO-02,mkt_l5_rct_so_compare_v1,Library 5,Understanding Different Opinions,Marketing,Root Canal Treatment,Second Opinion,No Response After Message 1,Day 5,Video,Blank,"""Why would two dentists recommend different treatments for the same tooth?""

Hi {{4}},

Different dentists may recommend different approaches based on their clinical findings, experience and treatment philosophy.

When comparing opinions, don't hesitate to ask why a Root Canal Treatment has been recommended and what alternatives may be appropriate in your situation.

Understanding the reason behind the recommendation is just as important as understanding the treatment itself.

Team {{1}}
Dr. {{2}}",None,Blank,Video,VID-RCT-MASTER-SO,"{{1}}, {{2}}, {{4}}",Educate patients on how to compare opinions meaningfully.,• Stay neutral.• Never imply another opinion is wrong.• Focus on clinical reasoning.,Video explains why different treatment plans can exist for the same case.,,,"""Why would two dentists recommend different treatments for the same tooth?""

Hi {{1}},

Different dentists may recommend different approaches based on their clinical findings, experience and treatment philosophy.

When comparing opinions, don't hesitate to ask why a Root Canal Treatment has been recommended and what alternatives may be appropriate in your situation.

Understanding the reason behind the recommendation is just as important as understanding the treatment itself.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-RCT-SO-03,mkt_l5_rct_so_confidence_v1,Library 5,Decide with Confidence,Marketing,Root Canal Treatment,Second Opinion,No Response After Message 2,Day 8,Image,Blank,"Choose the dentist you trust, not just the treatment you hear about.

Hi {{4}},

The best healthcare decision is the one you understand and feel confident about.

Whether you choose {{1}} or another clinic, our hope is that you receive the treatment that's right for your oral health.

Thank you for giving us the opportunity to be part of your care.

Your confidence matters more than anything else.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-RCT-SO-02,"{{1}}, {{2}}, {{4}}",End the journey by reinforcing confidence without pressure.,"• Respect the patient's final decision.• Never create pressure to choose the clinic.• Maintain a premium, ethical tone.","Creative should communicate trust, confidence and patient-first care.",,,"Choose the dentist you trust, not just the treatment you hear about.

Hi {{1}},

The best healthcare decision is the one you understand and feel confident about.

Whether you choose {{2}} or another clinic, our hope is that you receive the treatment that's right for your oral health.

Thank you for giving us the opportunity to be part of your care.

Your confidence matters more than anything else.

Team {{3}}
Dr. {{4}}","[4,1,1,2]"
MKT-L5-IMP-COST-01,mkt_l5_imp_cost_value_v1,Library 5,Long-Term Value,Marketing,Dental Implant,Cost,Primary Objection = Cost,Day 2,Image,Blank,"""A Dental Implant is a big investment... is it really worth it?""

Hi {{4}},

It's completely natural to think carefully before making a decision about a long-term treatment like a Dental Implant.

A Dental Implant is recommended to replace a missing tooth in a way that looks, feels and functions much like a natural tooth.

The investment isn't just for today. It's for your comfort, confidence and oral health for years to come.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-IMP-COST-01,"{{1}}, {{2}}, {{4}}",Shift the patient's focus from price to the long-term value of replacing a missing tooth.,"• Always mention patient name.• Mention ""Dental Implant"" naturally.• Never justify pricing.• Never compare costs.• Keep the tone educational and reassuring.",Creative should compare living with a missing tooth versus restoring it with a Dental Implant. Focus on confidence and function rather than price.,,,"""A Dental Implant is a big investment... is it really worth it?""

Hi {{1}},

It's completely natural to think carefully before making a decision about a long-term treatment like a Dental Implant.

A Dental Implant is recommended to replace a missing tooth in a way that looks, feels and functions much like a natural tooth.

The investment isn't just for today. It's for your comfort, confidence and oral health for years to come.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-IMP-COST-02,mkt_l5_imp_cost_affordability_v1,Library 5,Financial Flexibility,Marketing,Dental Implant,Cost,No Response After Message 1,Day 5,Video,Blank,"""I know I want a Dental Implant... I just wasn't planning for this expense.""

Hi {{4}},

If this thought has crossed your mind, you're not alone. Many patients need a little time to plan for an unexpected dental investment, and that's completely understandable.

If finances are making the decision difficult, we'd be happy to discuss the payment options available at {{1}}, so you can choose what feels comfortable for you.

Call us on {{3}} whenever you'd like to know more.

Our role is to help you make the right long-term decision, not to pressure you into one.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Video,VID-IMP-MASTER-COST,"{{1}}, {{2}}, {{3}}, {{4}}",Normalize financial hesitation and introduce supportive payment options.,"• Mention patient name.• Never use words like ""discount"", ""offer"", ""cheap"" or ""limited period"".• Introduce payment options only as supportive information.• Maintain a premium healthcare tone.",Video should focus on planning for a long-term investment rather than promoting financing.,,,"""I know I want a Dental Implant... I just wasn't planning for this expense.""

Hi {{1}},

If this thought has crossed your mind, you're not alone. Many patients need a little time to plan for an unexpected dental investment, and that's completely understandable.

If finances are making the decision difficult, we'd be happy to discuss the payment options available at {{2}}, so you can choose what feels comfortable for you.

Call us on {{3}} whenever you'd like to know more.

Our role is to help you make the right long-term decision, not to pressure you into one.

Team {{4}}
Dr. {{5}}","[4,1,3,1,2]"
MKT-L5-IMP-COST-03,mkt_l5_imp_cost_delay_v1,Library 5,Cost of Waiting,Marketing,Dental Implant,Cost,No Response After Message 2,Day 8,Image,Blank,"Many patients wish they hadn't waited so long before replacing their missing tooth.

Hi {{4}},

Taking time before making a treatment decision is completely understandable.

However, delaying a Dental Implant for too long may sometimes lead to changes in the surrounding teeth or jawbone, which could make future treatment more complex.

If you'd like to understand your options before deciding, we're always happy to answer your questions.

Taking the right step at the right time often makes treatment simpler.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Image,IMG-IMP-COST-02,"{{1}}, {{2}}, {{3}}, {{4}}",Create gentle urgency by highlighting the long-term implications of delaying tooth replacement.,• Mention patient name.• Avoid fear-based language.• Keep urgency educational.• Never exaggerate outcomes.,"Creative should illustrate how timely replacement helps preserve long-term oral health, without using alarming visuals.",,,"Many patients wish they hadn't waited so long before replacing their missing tooth.

Hi {{1}},

Taking time before making a treatment decision is completely understandable.

However, delaying a Dental Implant for too long may sometimes lead to changes in the surrounding teeth or jawbone, which could make future treatment more complex.

If you'd like to understand your options before deciding, we're always happy to answer your questions.

Taking the right step at the right time often makes treatment simpler.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-IMP-TRUST-01,mkt_l5_imp_trust_necessity_v1,Library 5,Why Dental Implant?,Marketing,Dental Implant,Trust,Primary Objection = Trust,Day 2,Image,Blank,"""Do I really need a Dental Implant?"" It's one of the most common questions we hear.

Hi {{4}},

Choosing the right way to replace a missing tooth is an important decision, and it's natural to want complete confidence before moving forward.

At {{1}}, a Dental Implant is recommended only after carefully evaluating your oral condition and discussing the findings with you.

If another treatment is more suitable for your case, we'll explain that too.

The right treatment always begins with the right diagnosis.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-IMP-TRUST-01,"{{1}}, {{2}}, {{4}}",Build confidence that the recommendation is based on clinical findings rather than routine treatment.,• Mention patient name.• Mention Dental Implant naturally.• Never compare with competitors.• Never oversell implants.• Maintain complete transparency.,Doctor discussing X-ray/CBCT scan with patient.,,,"""Do I really need a Dental Implant?"" It's one of the most common questions we hear.

Hi {{1}},

Choosing the right way to replace a missing tooth is an important decision, and it's natural to want complete confidence before moving forward.

At {{2}}, a Dental Implant is recommended only after carefully evaluating your oral condition and discussing the findings with you.

If another treatment is more suitable for your case, we'll explain that too.

The right treatment always begins with the right diagnosis.

Team {{3}}
Dr. {{4}}","[4,1,1,2]"
MKT-L5-IMP-TRUST-02,mkt_l5_imp_trust_explanation_v1,Library 5,Understanding the Recommendation,Marketing,Dental Implant,Trust,No Response After Message 1,Day 5,Video,Blank,"""Why has a Dental Implant been recommended instead of another treatment?""

Hi {{4}},

Every patient deserves to understand why a Dental Implant has been recommended, and not just what treatment has been suggested.

That's why Dr. {{2}} explains the condition of your teeth, discusses suitable alternatives wherever applicable and answers every question before you decide.

Understanding the reason behind a recommendation makes every decision easier.

Team {{1}}
Dr. {{2}}",None,Blank,Video,VID-IMP-MASTER-TRUST,"{{1}}, {{2}}, {{4}}",Build trust through education and explanation.,• Stay educational.• Never imply implants are the only solution.• Reinforce informed decisions.,Doctor explaining why Implant vs Bridge vs Denture.,,,"""Why has a Dental Implant been recommended instead of another treatment?""

Hi {{1}},

Every patient deserves to understand why a Dental Implant has been recommended, and not just what treatment has been suggested.

That's why Dr. {{2}} explains the condition of your teeth, discusses suitable alternatives wherever applicable and answers every question before you decide.

Understanding the reason behind a recommendation makes every decision easier.

Team {{3}}
Dr. {{4}}","[4,2,1,2]"
MKT-L5-IMP-TRUST-03,mkt_l5_imp_trust_second_opinion_v1,Library 5,Confidence Before Decision,Marketing,Dental Implant,Trust,No Response After Message 2,Day 8,Image,Blank,"Thinking about taking another opinion before getting a Dental Implant? That's completely okay.

Hi {{4}},

If another opinion helps you feel more confident, we completely respect that.

When comparing opinions, try to understand why a Dental Implant has been recommended, what alternatives are available and which option best supports your long-term oral health.

Confidence comes from understanding, and not pressure.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-IMP-TRUST-02,"{{1}}, {{2}}, {{4}}",Reinforce confidence without sounding defensive.,• Respect second opinions.• Never discourage comparison.• Keep patient-first tone.,Trust and transparency creative.,,,"Thinking about taking another opinion before getting a Dental Implant? That's completely okay.

Hi {{1}},

If another opinion helps you feel more confident, we completely respect that.

When comparing opinions, try to understand why a Dental Implant has been recommended, what alternatives are available and which option best supports your long-term oral health.

Confidence comes from understanding, and not pressure.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-IMP-FEAR-01,mkt_l5_imp_fear_surgery_v1,Library 5,Surgery Concern,Marketing,Dental Implant,Fear,Primary Objection = Fear,Day 2,Image,Blank,"""Is getting a Dental Implant a major surgery?""

Hi {{4}},

Many patients imagine a Dental Implant procedure to be much more complicated than it actually is.

Before treatment, Dr. {{2}} will explain the entire procedure, answer your questions and make sure you're comfortable before moving ahead.

Understanding the process often makes it feel much less intimidating.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-IMP-FEAR-01,"{{1}}, {{2}}, {{4}}",Reduce anxiety by addressing fear of surgery.,• Never promise painless treatment.• Never guarantee outcomes.• Focus on reassurance.,Calm consultation before implant surgery.,,,"""Is getting a Dental Implant a major surgery?""

Hi {{1}},

Many patients imagine a Dental Implant procedure to be much more complicated than it actually is.

Before treatment, Dr. {{2}} will explain the entire procedure, answer your questions and make sure you're comfortable before moving ahead.

Understanding the process often makes it feel much less intimidating.

Team {{3}}
Dr. {{4}}","[4,2,1,2]"
MKT-L5-IMP-FEAR-02,mkt_l5_imp_fear_process_v1,Library 5,What to Expect,Marketing,Dental Implant,Fear,No Response After Message 1,Day 5,Video,Blank,"""What actually happens during a Dental Implant procedure?""

Hi {{4}},

For many patients, uncertainty creates more anxiety than the treatment itself.

Before beginning your Dental Implant procedure, every step is explained so you know exactly what to expect throughout your visit.

Knowing what's ahead often helps patients feel much more relaxed and confident.

Confidence begins with understanding the journey.

Team {{1}}
Dr. {{2}}",None,Blank,Video,VID-IMP-MASTER-FEAR,"{{1}}, {{2}}, {{4}}",Replace uncertainty with confidence.,• Explain simply.• Avoid technical language.• Reinforce communication.,Procedure walkthrough video.,,,"""What actually happens during a Dental Implant procedure?""

Hi {{1}},

For many patients, uncertainty creates more anxiety than the treatment itself.

Before beginning your Dental Implant procedure, every step is explained so you know exactly what to expect throughout your visit.

Knowing what's ahead often helps patients feel much more relaxed and confident.

Confidence begins with understanding the journey.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-IMP-FEAR-03,mkt_l5_imp_fear_reassurance_v1,Library 5,Reassurance Before Decision,Marketing,Dental Implant,Fear,No Response After Message 2,Day 8,Image,Blank,"Most patients tell us their Dental Implant procedure was much easier than they expected.

Hi {{4}},

Feeling nervous before any dental procedure is completely normal.

Many patients later share that the experience felt far more comfortable than they had imagined because they understood the procedure and felt supported throughout.

If surgery is the only thing holding you back, we'd be happy to answer your questions before you decide.

Sometimes a simple conversation is all it takes to feel more confident.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Image,IMG-IMP-FEAR-02,"{{1}}, {{2}}, {{3}}, {{4}}",Give final reassurance.,• Avoid exaggerated claims.• Invite discussion.• Maintain supportive tone.,Happy patient after implant treatment.,,,"Most patients tell us their Dental Implant procedure was much easier than they expected.

Hi {{1}},

Feeling nervous before any dental procedure is completely normal.

Many patients later share that the experience felt far more comfortable than they had imagined because they understood the procedure and felt supported throughout.

If surgery is the only thing holding you back, we'd be happy to answer your questions before you decide.

Sometimes a simple conversation is all it takes to feel more confident.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-IMP-URG-01,mkt_l5_imp_urg_missing_tooth_v1,Library 5,Living With a Missing Tooth,Marketing,Dental Implant,No Urgency,Primary Objection = No Urgency,Day 2,Image,Blank,"""I'm managing without that tooth... do I really need to replace it now?""

Hi {{4}},

It's common to adapt to a missing tooth over time, especially if it isn't causing pain.

However, replacing a missing tooth isn't only about appearance, it also helps support chewing, neighbouring teeth and long-term oral health.

Replacing a tooth isn't just about today. It's about protecting tomorrow.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-IMP-URG-01,"{{1}}, {{2}}, {{4}}",Shift thinking from comfort today to long-term health.,• Educational tone.• Avoid fear.• Mention implant naturally.,Missing tooth impact infographic.,,,"""I'm managing without that tooth... do I really need to replace it now?""

Hi {{1}},

It's common to adapt to a missing tooth over time, especially if it isn't causing pain.

However, replacing a missing tooth isn't only about appearance, it also helps support chewing, neighbouring teeth and long-term oral health.

Replacing a tooth isn't just about today. It's about protecting tomorrow.

Team {{2}}
Dr. {{3}}","[4,1,2]"
MKT-L5-IMP-URG-02,mkt_l5_imp_urg_timing_v1,Library 5,Why Timing Matters,Marketing,Dental Implant,No Urgency,No Response After Message 1,Day 5,Video,Blank,"""Can I wait a few more months before getting a Dental Implant?""

Hi {{4}},

Many patients ask this question.

Waiting may sometimes result in changes to the jawbone or surrounding teeth, which could influence future treatment planning.

If you're unsure about the recommended timing, we'd be happy to discuss it with you.

The right timing can make treatment simpler and more predictable.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Video,VID-IMP-MASTER-URG,"{{1}}, {{2}}, {{3}}, {{4}}",Explain why timing matters.,• Avoid creating panic.• Keep message balanced.• Invite discussion.,Bone preservation explanation video.,,,"""Can I wait a few more months before getting a Dental Implant?""

Hi {{1}},

Many patients ask this question.

Waiting may sometimes result in changes to the jawbone or surrounding teeth, which could influence future treatment planning.

If you're unsure about the recommended timing, we'd be happy to discuss it with you.

The right timing can make treatment simpler and more predictable.

Team {{2}}
Dr. {{3}}","[4,1,2]"
